"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"285",2.86,1.27,0.47,0.26,0.37,0.5,1.95,5.83,13.45,17.38,12.22,12.3,13.44,14.29,15.4,18.54,20.44,26.08,29.18,20.61,16.45,12.62,9.47,4.75
"289",0.11,0.05,0.02,NA,0.01,0.22,0.62,1.13,1.95,1.38,0.67,0.36,0.57,0.33,0.51,0.43,0.27,0.34,0.31,0.39,0.23,0.15,0.22,0.13
"290",0.61,0.26,0.15,0.16,0.27,1.11,1.59,4.24,6.89,4.99,2.76,2.53,2.82,3.02,2.55,3.25,3.53,6.25,8.5,5.03,3.79,2.37,1.99,1.19
"291",0.19,0.1,0.1,0.05,0.08,0.44,0.92,3.05,10.09,2.74,1.37,1.17,1.51,1.59,2.05,1.92,2.07,2.22,2.65,1.98,1.98,1.51,0.87,0.53
"293",3.51,1.55,0.72,0.22,0.47,0.92,2.98,10.41,22.16,27.67,16.45,14.54,16.31,18.03,19.44,19.16,24.63,38.97,38.24,25.53,19.37,13.69,10.66,7.81
"294",0.76,0.34,0.21,0.1,0.07,0.14,0.47,1.81,3.74,4,3.02,2.89,5.29,4.63,4.12,5.89,5.99,7.52,7.63,6.34,4.77,3.13,2.16,1.52
"295",0.45,0.29,0.13,0.9,0.05,1.4,0.53,3.34,7.86,6.06,4.84,3.13,3.43,4.53,3.78,4.05,4.3,6.51,6.18,4.27,2.9,2.53,2.21,1.28
"296",1.2,0.46,0.24,0.13,0.08,0.36,1.34,1.95,5.56,5.08,4.29,4.28,3.92,5.18,4.37,3.89,4.28,4.87,4.98,4.93,3.18,3.9,3.41,1.93
"297",1.69,0.75,0.42,0.24,0.15,0.73,4.53,9.21,14.46,11.42,5.72,5.4,5.7,6.02,6.07,7.53,8.9,11.92,13.23,10.98,8.84,7.87,6.56,3.54
"298",0.18,0.08,0.02,0.01,0.01,0.09,0.2,1.18,2.57,2.05,1.15,0.65,0.69,0.72,0.75,0.79,1.39,0.92,0.99,1.44,0.75,0.86,0.55,0.4
"300",1.76,1.27,0.76,0.13,0.33,1.97,3.14,4.18,14.58,14.34,6.4,4.82,4.53,4.41,5.18,5.5,5.57,7.5,8.3,8.51,5.48,4.33,3.81,2.92
"301",1.08,0.38,0.28,0.18,0.13,1.74,6.06,11.18,15.68,5.95,4.02,3.85,5.39,5.85,5.87,6.17,6.6,7.17,7.95,7.54,5.02,4.45,2.94,2.28
"302",0.21,0.13,0.05,0.02,0.08,0.32,1.81,4.7,11.58,6.16,1.89,1.39,1.69,1.64,1.95,2.3,2.89,2.41,2.43,2.2,1.15,1.24,0.99,0.71
"303",0.51,0.21,0.06,0.08,0.03,0.11,0.66,1.09,2.89,2.66,2.44,3.7,5.34,5.32,5.41,7.55,7.41,14.22,15.12,11.08,5.98,2.73,1.44,0.92
"304",0.54,0.24,0.2,0.08,0.3,0.21,0.66,2.11,3.96,4.2,4.04,4.68,6.66,6.73,7.28,9.13,12.75,18.79,9.3,5.95,3.04,2.24,1.31,0.9
"305",0.57,0.39,0.21,0.06,0.11,0.91,1.64,6.4,10.94,7.86,4.95,5.27,6.85,6.98,6.41,7.61,14.53,18.2,12.11,7.28,5.19,3.15,2.08,1.2
"306",0.37,0.14,0.07,0.09,0.31,0.65,2.08,3.56,7.06,5.06,2.08,2.4,3.2,4.11,3.66,4.48,5.95,10.28,10.61,6.98,4.56,2.81,1.58,0.89
"307",1.36,0.76,0.59,0.21,0.24,0.74,2.01,6.27,13.62,11.34,6.44,4.35,4.05,4.8,5.07,5.76,6.59,8.25,10.96,8.35,6.03,4.33,4.11,2.72
"308",0.32,0.24,0.14,0.05,0.02,0.21,1.96,2.63,7.96,5.35,3.22,2.31,2.96,3.4,2.77,2.86,3.36,3.19,4.1,3.92,3.4,2.54,1.7,0.89
"309",0.37,0.17,0.06,0.01,0.01,0.03,0.87,1.25,2.32,1.63,1.99,2.93,4.15,4.66,5.08,6.5,9.31,19.98,12.92,4.73,2.61,1.76,1.19,0.53
"310",0.45,0.21,0.15,0.03,0.05,0.2,1.2,2.71,6.5,5.43,2.67,2.26,3.03,2.26,2.08,2.35,2.62,3.13,3.78,3.73,3.32,2.27,1.9,1.21
"311",0.99,0.49,0.18,0.16,0.12,0.44,1.19,3.77,8.29,8.22,3.85,3.31,2.92,3.11,3.32,4.32,4.4,6.29,7.09,5.04,3.81,3.04,3.05,1.73
"312",3.26,1.68,0.98,0.57,1.21,0.49,3.37,7.23,13.56,7.76,4.77,4.95,4.97,5.27,6.78,6.25,5.98,8.39,9.36,8.31,7.07,5.27,5.73,5.24
"313",0.21,0.08,0.02,0.03,0.04,0.1,0.4,2.85,4.51,3.81,1.53,2,1.45,1.56,1.82,1.66,1.55,2.31,3.12,2.49,1.44,1.08,0.6,0.64
"314",0.31,0.1,0.05,0.02,0.13,0.06,0.24,1.18,4.29,5.42,2.88,2.31,2.73,2.37,2.56,3.16,3.46,5.13,4.32,3.6,2.89,1.46,1.4,0.48
"315",0.19,0.06,0.02,0.01,0.01,0.02,2.73,3.05,9.24,6.66,3.82,3.05,3.89,4.5,4.55,4.88,5.98,15.68,12.56,6.46,2.34,1.34,0.64,0.34
"316",0.57,0.29,0.15,0.07,0.1,0.24,1.12,2.33,4.33,5.63,2.95,3.11,3.92,3.85,3.46,4.22,5.43,9.02,10.7,6.5,4.21,2.73,1.98,1.19
"317",0.65,0.31,0.21,0.29,0.37,1.26,5.19,13.4,10.6,3.03,2.52,3.19,3.67,4.44,4.89,5.64,5.78,6.15,6.87,6.15,3.95,3.07,2.53,1.27
"318",0.21,0.15,0.1,0.01,0.03,1.08,4.11,12.69,19.56,18.83,5.84,4.38,4.95,4.7,5.36,6.25,13.18,25.76,15.5,7.08,3.27,1.85,1.16,0.58
"319",0.2,0.13,0.05,0.02,0.02,0.13,0.69,1.54,3.25,3.43,2.02,1.77,2.61,2.56,2.95,3.65,4.05,6.99,6.5,3.5,1.91,1.22,0.84,0.45
"320",0.55,0.64,0.93,0.14,0.02,0.24,1.96,4.46,6.21,5.62,3.07,2.6,3.75,3.93,3.38,3.97,5.15,7.65,9.11,6.56,4.81,3.56,2.19,1.46
"321",0.4,0.19,0.05,0.04,0.02,0.24,0.34,1.28,2.66,1.82,1.25,2.05,2.72,2.52,2.5,2.79,3.15,4.01,4.09,2.72,1.44,0.95,0.92,0.6
"322",0.19,0.05,0.05,0.02,0.02,0.08,0.31,1.33,2.63,3.26,1.65,1.63,2.07,2.26,2.31,2.4,2.23,2.38,1.82,1.73,1.26,1.01,0.66,0.37
"323",0.6,0.27,0.09,0.15,0.36,0.04,0.18,1.49,2.79,2.72,1.44,1.18,1.67,2.15,1.91,2.23,3.85,6.46,7.79,5.72,3.33,2.3,1.41,0.97
"324",0.65,0.33,0.09,0.1,0.08,0.11,0.22,2.28,2.27,1.69,1.1,1.27,1.52,1.37,1.72,2.32,2.9,4.89,7.18,6.05,4.47,3.19,2.18,1.68
"325",1.36,0.67,0.17,0.08,0.09,0.51,3.15,5.95,8.94,8.51,4.92,3.82,3.67,3.6,3.42,3.8,4.1,5.36,7.75,8.24,6.48,4.4,2.94,2.45
"326",1.45,0.6,0.29,0.12,0.18,1.07,4.89,10.46,13.09,4.27,2.63,3.07,4.31,5.37,5.57,6.28,6.46,7.03,9.25,7.97,6,4.94,3.8,3.47
"327",0.85,0.34,0.15,0.15,0.15,0.57,11.3,14.89,23.48,14.11,7.15,8.12,9.98,10.72,14.14,14.21,18.48,38.13,24.49,14.76,8.65,6.05,2.89,1.37
"328",0.76,0.73,0.11,0.08,0.07,1.34,2.11,3.88,6.92,6.6,4.7,4,4.43,4.4,5.08,5.42,7.1,15.09,11.22,7.92,4.46,2.94,2.42,1.4
"329",0.72,0.31,0.15,0.04,0.04,0.96,3.03,5.85,8.22,6.18,4.79,6.47,9.5,6.81,7.09,9.02,17.32,17.79,10.9,8.53,5.98,3.53,2.29,1.52
"330",0.25,0.14,0.02,0.02,0.01,0.22,1.8,3.14,4.92,3.42,3.06,3.44,5.01,4.69,4.81,5.16,7.15,12.39,8.88,5.7,3.09,1.95,0.78,0.57
"331",0.34,0.15,0.09,0.02,0.54,0.15,1.17,1.86,8.53,4.93,1.39,1.34,1.39,1.31,1.56,1.94,1.57,2.1,2.34,1.89,1.75,1.18,0.75,0.46
"332",0.05,0.04,0.03,0.02,0.03,0.14,1.93,4.95,6.34,2.17,1.36,1.62,1.66,1.46,2.11,1.99,2.22,2.93,2.85,2.32,2.15,1.23,0.45,0.32
"334",1.92,0.84,0.54,0.22,0.21,1.05,4.01,8.76,9.9,12.15,7.19,6.66,7.41,7.75,7.66,7.34,7.27,10.57,17.99,16.01,10.78,7.37,5.28,3.07
"335",1.13,0.83,0.3,0.15,0.1,0.11,0.48,3.65,7.08,9.02,6.7,6.1,9.21,8.8,9.38,11.76,14.57,16.07,16.66,9.89,7.05,4.32,2.44,2
"336",2.49,1.22,0.74,0.29,0.21,0.41,2.73,4.33,9.21,9.72,5.24,5.15,6.48,5.97,6.58,6.74,8.05,10.55,12.94,10.06,8.4,6.47,5.51,3.96
