"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"265",0.05,0.07,0.08,0.09,0.06,0.03,0.02,0.04,0.02,0.03,0.03,0.07,0.09,0.04,0.05,0.03,0.07,0.05,0.06,0.02,0.05,0.08,0.11,0.05
"266",0.07,0.14,0.18,0.19,0.19,0.08,0.04,0.02,0.04,0.12,0.11,0.16,0.17,0.11,0.05,0.07,0.05,0.04,0.03,0.05,0.14,0.06,0.06,0.02
"267",0.02,0.03,0.08,0.02,0.02,0.02,NA,0.01,0.06,0.08,0.06,0.15,0.15,0.19,0.09,0.02,0.01,0.06,0.04,0.06,0.06,0.05,0.02,0.02
"268",NA,0.02,0.03,0.04,0.01,0.02,0.06,0.01,0.02,0.01,0.04,0.1,0.11,0.05,0.14,0.1,0.11,0.05,0.1,0.06,NA,0.03,0.05,0.06
"270",0.19,0.19,0.24,0.2,0.12,0.12,0.08,0.05,0.14,0.25,0.37,0.31,0.17,0.15,0.17,0.11,0.05,0.04,0.03,0.09,0.23,0.11,0.15,0.09
"271",NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
"274",0.05,0.02,0.04,0.02,0.04,0.01,0.02,0.02,0.02,0.01,0.02,0.05,0.02,0.05,0.03,0.01,0.02,0.01,0.02,0.01,0.04,0.03,0.02,0.03
"275",0.14,0.11,0.17,0.06,0.08,0.03,0.04,0.03,0.05,0.11,0.12,0.15,0.11,0.12,0.07,0.11,0.13,0.02,0.03,0.08,0.13,0.12,0.08,0.11
"276",0.03,0.03,0.01,NA,0.05,0.03,0.02,0.13,0.09,0.14,0.15,0.14,0.13,0.15,0.12,0.08,0.06,0.06,0.03,0.06,0.04,0.03,0.02,0.02
"278",0.06,0.04,0.09,0.03,0.04,0.02,0.02,0.03,0.04,0.02,0.03,0.08,0.08,0.05,0.11,0.02,0.05,0.03,0.05,0.03,0.04,0.11,0.08,0.1
"279",NA,0.02,0.01,0.01,0.02,0.01,0.02,0.06,0.02,0.02,0.02,0.05,0.11,0.06,0.16,0.14,0.07,0.03,0.03,0.01,0.02,NA,0.02,0.02
"280",0.01,0.02,0.02,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.06,0.05,0.05,0.03,0.02,0.02,0.03,0.03,NA,0.03,0.02,0.01
"281",0.15,0.17,0.31,0.23,0.21,0.15,0.21,0.17,0.16,0.18,0.21,0.25,1.44,1.36,0.86,0.98,0.47,0.3,0.28,0.24,0.24,0.2,0.27,0.27
"282",0.05,0.02,0.05,0.05,0.04,0.03,0.02,0.01,0.05,0.02,0.05,0.02,0.02,0.08,0.06,0.06,0.04,0.01,0.01,0.02,0.01,0.02,0.03,0.05
"284",0.08,0.1,0.13,0.07,0.02,0.04,0.02,0.03,0.08,0.29,0.31,0.32,0.27,0.18,0.08,0.15,0.13,0.11,0.11,0.1,0.12,0.06,0.06,0.03
