"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"300",1.53,0.56,0.28,0.21,0.08,0.59,1.87,3.52,10.37,10.12,5.25,4.83,5.18,4.65,4.71,4.57,4.89,7.94,13.13,15.37,11.15,6.05,3.76,3.18
"301",2.21,1.11,0.63,0.2,0.1,0.1,0.91,3.04,3.4,2.79,2.66,3.51,5.09,5.69,5.62,7.08,9.66,17.62,17.81,10.18,6.17,4.86,4.08,3.09
"302",0.86,0.45,0.23,0.13,0.05,0.07,0.31,1.28,3.66,1.53,1.47,1.05,1.75,1.63,2.03,2.44,3.07,5.09,6.38,6.76,4.41,2.76,2.03,1.31
"303",0.32,0.21,0.18,0.08,0.03,0.05,1.56,2.85,10.99,12.65,4.6,4.58,6.02,5.51,5.77,6.64,6.73,9.95,9.83,7.19,3.44,1.24,1,0.63
"304",0.6,0.31,0.16,0.09,0.11,0.26,2.31,9.2,19.27,7.11,3.83,4.09,5.5,6.33,6.13,6.63,6.07,6.13,6.39,4.97,3.27,2.31,1.6,1.09
"305",0.82,0.65,0.44,0.15,0.19,1.77,7.91,16.34,13.9,9.84,5.08,4.85,6.04,6.8,6.31,5.89,6.39,9.53,10.66,7.81,5.08,2.88,1.89,1.56
"306",1.07,0.46,0.22,0.13,0.22,0.53,1.89,5.69,7.5,9.57,4.59,2.85,3.74,4.48,3.63,3.4,3.34,5.51,7.26,5.5,4.09,3.69,2.47,1.95
"307",1.89,0.91,0.45,0.55,0.28,0.41,2.16,4.06,7.74,5.81,4.2,4.24,4.4,5.18,5.44,6.5,7.4,11.71,14.72,10.89,7.42,5.62,4.58,4.2
"308",0.67,0.33,0.34,0.15,0.16,0.2,1.27,0.95,2.5,2.65,3.07,3.31,3.9,3.39,2.89,2.86,3.08,5.88,6.2,4.43,2.98,2.63,2.39,1.85
"309",0.29,0.15,0.06,0.15,0.81,3.12,9.89,8.86,9.53,3.63,2.3,2.27,3.65,3.91,3.66,4.34,4.74,5.93,5.59,3.28,2.24,1.57,1.22,0.53
